Author,Title,Category,Descriptors
"Irwin, Inez Haynes","Story of Alice Paul and the National Women's Party, The (Originally Published 1921)",b-Quakers/Paul,
"Isaacs, Marjorie M.",Findng the Light in You: Bright Silent Worship with Young Friends; Photography by Eugenia M. Mills,Juvenile,Quakerism
"Ishac, Allan",New York's 50 Best Places to Find Peace & Quiet,Spirituality,
"Ishac, Allan",New York's 50 Best Places to Take Children,Child-Rearing,
"Issa, Kai Jackson; Arthur L. Dawson, illus.",Howard Thurman's Great Hope,Juvenile/Picture Book,Racial Justice
"Iverson, Diane",My Favorite Tree,Juvenile,
"Jacob, Caroline Nicholson.","Builders of the Quaker Road, 1652-1952",Quaker History,
"Jacobs, Martha R.","Clergy Guide to End-of-Life Issues, A",ARCH,
"Jacobson, Ryan","William Penn, Founder of Pennsylvania (Graphic Library)",Juvenile,Quaker History
"Janzen, Bernd G.",Communities of Conscience: Collected Statements on Conscience and Taxes,P&SC:Peace & Nonviolence,
"Jarman, Peter & Eva Tucker, eds.",Patterns and Examples: Experiencing the Spirit of Other Faiths--A Quaker View,Other Faiths,
"Jensen, Lin","Pavement: Reflections on Mercy, Activism & ""Doing Nothing"" for Peace",P&SC:Peace & Nonviolence,
"Johnson, Angela; Eric Velasquez, illus.",Sweet Smell of Roses,Juvenile/Picture Book,Racial Justice
"Johnston, William, ed","Cloud of Unknowing, The, and The Book of Privy Counselling",Spirituality,Meditation
"Jonas, Gerald",On Doing Good: The Quaker Experiment ,Quakerism,American Friends Service Committee (AFSC)
"Jones, Rufus M.",Essential Writings. Selected and with an intro by Kerry Walters,b-Quakers/Jones,
"Jones, Rufus M.","Faith and Practice of the Quakers, The: Philosophy, Theology and Teachings of the Society of Friends",Quaker Basics,
"Jones, Rufus M.",Later Periods of Quakerism Volume 1 (18th Century),Quaker History,
"Jones, Rufus M.",Later Periods of Quakerism Volume 2 (19th Century),Quaker History,
"Jones, Rufus M.","Quakerism: A Religion of Life (Swarthmore lecture, 1908)",b-Quakers/Jones,
"Jones, Rufus M.","Quakerism: A Spiritual Movement:  Six Essays by Rufus M. Jones 1863-1948, with a Sketch of His Life by Mary Hoxie Jones",b-Quakers/Jones,
"Judson, Sylvia Shaw","Quiet Eye, The: A Way of Looking at Pictures; 1954 (large format) and 1982 editions",Spirituality,
Julian of Norwich,"Showings;  Trans with an intro by Edmund Colledge, OSA, and James Walsh, SJ",Spirituality,
"Kabat-Zinn, John","Wherever You Go, There You Are: Mindfuness Meditation in Everyday Life",Spirituality,
"Kapleau, Roshi Philip","Three Pillars of Zen, The (25th Anniversary Edition)",Other Faiths,Buddhism
"Karnes, Barbara","Final Act of Living, The: Reflections of a Long-Time Hospice Nurse",ARCH,Death & Dying
"Kaur, Valarie",See No Stranger: A Memoir and Manifesto of Revolutionary Love,P&SC:Peace & Nonviolence,
"Keating, Thomas","Human Condition, The: Contemplation and Transformation (Wit Lectures—Harvard Divinity School)",Spirituality,
"Keller, Phillip W","Shepherd Looks at Psalm 23, A",Bible,
"Kellogg, Steven","Rose for Pinkerton, A",Juvenile/Picture Book,
"Kelly, Richard M.",Thomas Kelly: A Biography (by his son),b-Quakers/Kelly,
"Kelly, Thomas R.",Testament of Devotion,b-Quakers/Kelly,
"Kendal at Longwood, Residents of",Experiences: Life at a Continuing Care Retirement Community,ARCH,Aging
"Kendi, Ibram X.",How to Be an Anti Racist,P&SC:Racial Justice,
"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,P&SC:Racial Justice,
"Kenworhy, Leonard",Living in the Light: Some Quaker Pioneers of the 20th Century,b-Quakers/Collection,
"Kessler, David",Finding Meaning: The Sixth Stage of Grief,ARCH,Death & Dying
"Kidd, Sue Monk","Invention of Wings, The (about one of Grimke sisters and her slave girl)",Fiction,Historical Novel
"Kimmel, Haven","Solace of Leaving Early, The",Fiction,
"Kimmerer, Robin Wall","Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",EarthCare,Spirituality
"Kindersley, Barnabas and Anabel",Children Just Like Me: A Unique Celebration of Children Around the World,Juvenile,Diversity
"King, Martin Luther, Jr.","Testament of Hope: Essential Writings of Martin Luther King, Jr.",P&SC:Racial Justice,
"Klapholtz, Yisroel Yaakov","Tales of the Baal Shemtov, Vol I; Sheindel Weinback, Trans.",Other Faiths,Judaism
"Kline, Florence R",Companions Along the Way: Spiritual Formation Within the Quaker Tradition: A Resource for Adult Religious Education,Quakerism,
"Knowles, Charles","Psalm Book of Charles Knowles, The",Bible,
"Kornfield, Jack","After the Ecstasy, the Laundry",Other Faiths,Buddhism
"Kress, Nancy",Crossfire,Fiction,Science Fiction
"Kristof, Nicholas D & WuDunn, Sheryl","Path Appears, A: Transforming Lives, Creating Opportunity",P&SC:Global Concerns,
"Krosoczka, Jarrett J.","My Buddy, Slug",Juvenile/Picture Book,
"Kübler-Ross, Elisabeth & Kessler, David",On Grief and Grieving: Finding he Meaning of Grief Through the Five Stages of Loss,ARCH,
"Kupers, Terry Allen",Solitary: The Inside Story of Supermax Isolation and How We Can Abolish It,P&SC:Prison,
"Kurlansky, Mark",Non-Violence: A History of a Dangerous Idea,P&SC:Peace & Nonviolence,
"Lacey, Margaret",Silent Friends: A Quaker Quilt,Fiction,Stories
"Lacey, Paul A.",Growing into Goodness: Essays on Quaker Education,Quakerism,
"Lacout, Pierre",God Is Silence,Spirituality,
"Ladinsky, Daniel, trans.",Love Poems from God: Twelve Sacred Voices from the East and West,Poetry,
"Laird, Martin",Into the Silent Land: The Practice of Contemplation,Spirituality,
"Lakey, George",How We Win: A Guide to Nonviolent Direct Action Campaigning,P&SC:Peace & Nonviolence,
"Lakey, George",Viking Economics: How the Scandinavians Got It Right-and We Can Too,P&SC:Global Concerns,
"Lamott, Anne","Help, Thanks, Wow: The Three Essential Prayers",Spirituality,
Lao Tsu,"Tao te Ching; Gia Fu Feng & Jane English, trans.",Other Faiths,Taoism
Lao Tzu,"Tao te Ching;  Stephen Mitchell, trans.",Other Faiths,Taoism
Lao Tzu,"Tao te Ching; Intro and Notes by Yi-Ping Ong; Charles Muller, trans.",Other Faiths,Taoism
Lao Tzu,"Way of Life, The; Witter Bynner, trans",Other Faiths,Taoism
"Lapsansky, Emma Jones & Verplanck, Anne, eds",Quaker Aesthetics: Reflections on a Quaker Ethic in American Design and Consumption,Quaker History,
"Larson, Jeanne & Micheels-Cyrus, Madge, Eds.",Seeds of Peace: A Catalogue of Quotes,P&SC:Peace & Nonviolence,
"Larson, Per","Gay Money: Your Personal Guide to Same-Sex Strategies for Financial Security, Strength, and Success",b-Morningsiders,LGBTQ+ Issues
"Larson, Rebecca",Daughters of Light: Quaker Women Preaching and Prophesying in the Colonies and Abroad 1700-1775,Quaker History,
"Leaf, Munro; Robert Lawson, illus.","Story of Ferdinand, The",Juvenile/Picture Book,
Leaveners,Sing in the Spirit: A Book of Quaker Songs,Music,
"Lerner, Gerda","Grimke Sisters from South Carolina, The: Pioneers for Woman's Rights and Abolition, The:",b-Quakers/Grimkes,
"Lester, Alison",Imagine,Juvenile/Picture Book,
"Lester, Julius, ed",To Be a Slave (Collection of slave narratives),P&SC:Racial Justice,
"Leuze, Robert, ed.",Each of Us Inevitable: Keynote Addresses at Quaker Gatherings 1977-93,b-Morningsiders,
"Leuze, Sarah","Sarah Leuze: A Collection of Her Poetry, Fiction and a Memoir",b-Morningsiders,
"Levertov, Denise",Making Peace,Poetry,
"Levine, Stephen","Gradual Awakening, A",Sprituality/Meditation,
"Lewis, C. S. ","Four Loves, The",Spirituality,
"Life, Editors of, eds","Worlds Great Religions, The: Christianity, Judaism, Chinese Philosophy, Hinduism, Buddhism, Islam",Other Faiths,
"Linn, Matthew et al.",Simple Ways to Pray for Healing,Spirituality/Prayer,
"Lithgow, John; Boris Kulikov, illus.",Carnival of the Animals (Includes CD),Juvenile/Picture Book,
"Lobel, Arnold",Frog and Toad Are Friends,Juvenile,
London Yearly Meeting,Christian Faith and Practice in the Experience of the Society of Friends,Quaker Basics/Faith & Practice ,
"Looney, John",Alternatives to Violence Workshop: A Course in Solving Conflict Peaceably,P&SC:Peace & Nonviolence,
"Loori, John Daido","Eight Gates of Zen, The: A Program of Zen Training",Other Faiths,Buddhism
"Lopez, Barry ed. ","Future of Nature,The: Writing on a Human Ecology from Orion Magazine",EarthCare,
"Loring, Patricia",Listening Sprituality vol 1: Personal Spiritual Practices Among Friends,Quaker Basics,
"Loring, Patricia",Listening Sprituality vol. 2 : Corporate Spiritual Practice Among Friends,Quaker Basics,
"Loverde, Joy","Complete Eldercare Planner, The 2009",ARCH,Caregiving
"Luetke, Barbara Schell",The Kendal Sparrow: A Novel of Elizabeth Fletcher,Fiction,Historical Novel / Early Quakers / George Fox
"Lyndon, Susan G.","Knitting Sutra, The: Craft as a Spiritual Practice",Spirituality,
"Lyon, Sharron, Compiler",Baptist Hymnal,Music,
"MacCulloch, Diarmaid",Silence: A Chrisian History,Spirituality,
"MacDonald, Margaret Read",Peace Tales,Juvenile,
"MacIver, Roderick, ed and Illus","Heron Book of Love and Gratitude, The",Sprituality,
"Mackenzie, Vicki",Cave in the Snow: A Western Woman's Quest for Enlightenment,Other Faiths,Buddhism
"MacKinlay, Elizabeth","Spiritual Dimension of Aging, The",ARCH,
"Macy, Joanna & Johnstone, Chris",Active Hope: How to Face the Mess We're In without Going Crazy,EarthCare,
"Macy, Joanna Rogers",Despair and Personal Power in the Nuclear Age,P&SC:Peace & Nonviolence,
"Magnani,Laura & Wray, Harmon L.",Beyond Prisons: A New Interfaith Paradigm for Our Failed Prison System,P&SC:Prison,
"Manning, Doug",Don't Take My Grief Away: What to Do When You Lose a Loved One,ARCH,
"Marzollo, Jean",I Spy: 4 Picture Riddle Books; Level I; Photos by Walter Wick,Juvenile/Picture Book,
"Marzollo, Jean",I Spy Spectacular: A Book of Picture Riddles; Photographs by Walter Wick,Juvenile/Picture Book,
"Mason, John",Four New World Yoruba Rituals,Other Faiths,African American Religion
"Mathias, Barbara & French, Mary Ann",40 Ways to Raise a Nonracist Child,Child-Rearing,
"Mayer, Mercer","New Baby, The",Juvenile,
"Mazel, Ellen, Ed",And Don't Call Me  A Rascist: A Treasury of Quotes on the Color Line in America,P&SC:Racial Justice,
"McBee, Patricia, Ed. ",Grounded in God: Care and Nurture in Friends Meeting,Quakerism,Pastoral Care
"McBrier, Page","Beatrice's Goat; Lori Lohstoeter, Illus.",Juvenile/Picture Book,
"McCallum, Chris",Quaker House: 40 Years of Front-Line Peace Witness (Inscribed by Chuck Fager),P&SC:Peace & Nonviolence,
"McCarthy, Jesse",Who Will Pay Reparaions on My Soul: Essays,P&SC:Racial Justice,
"McDaniel, Donna and Julye, Vanessa","Fit For Freedom Not For Friendship: Quakers, African Americans, and the Myth of Racial Justice",Quaker History,Racial Justice
McDermott,Coyote,Juvenile,
"McKibben, Bill",Deep Economy: The Wealth of Communities and the Durable Future,P&SC:Global Concerns,
"Mclerran, Alice",Roxaboxen,Juvenile/Picture Book,
"McQuiston, John, II",Always We Begin Again: The Benedictine Way of Life,Spirituality,
"Mellonie, Bryan &  Robert Ingpen",Lifetimes: A Beautiful Way to Explain Death to Children,Juvenile,
"Melmed, Laura Krauss; Henri Sorensen, illus.",I Love You As Much,Juvenile/Picture Book,
"Meltzer, Amy; Janice Fried, illus.","Mezuzah on the Door, A",Juvenile/Picture Book,Judaism
"Menakem, Resmaa",My Grandmother's Hands,P&SC:Racial Justice,
"Merkel, Jim",Radical Simplicity: Small Footprints for a Finite Earth,EarthCare,
"Merrill, Nan C.",Psalms for Praying,Bible,
"Merton, Thomas",Seven Storey Mountain,Spirituality,
"Metaxis, Eric","Amazing Grace: William Wilburforce and the Heroic Campaign to End Slavery. Companion Book to the Feature Film ""Amazing Grace""",P&SC:Racial Justice,
Metropolitan Museum of Art,Masks,Juvenile,
"Meyer, Marvin, tr. & ed.",Gospel of Thomas: The Hidden Sayings of Jesus,Bible,Gnostic Gospels
"Michener, James A.",Chesapeake,Fiction,Historical Novel
"Miles, Miska; Peter Parnell, illus.",Annie and the Old One,Juvenile,Native Americans
"Miller, Alex",Friendly Musings,Quakerism,
"Milligan, Edward H.",British Quakers in Commerce and Industry 1775-1920: Biograhical Dictionary of,Quaker History,
"Mitchell, Hobart",We Would Not Kill,P&SC:Peace & Nonviolence,
"Mitchell, Stephen, ed.",Dropping Ashes on the Buddha: The Teachings of Zen Master Seung Sahn,Other Faiths,Buddhism
"Mitchell, Stephen, Trans.",Book of Job,Bible,
"Mitchell, Stephen, Trans.","Book of Psalms, A: Selected and Adapted from the Hebrew",Bible,
"Mock, Melanie Springer & Rebekah D. Schneider, eds",Just Moms: Conveying Justice in an Unjust World,Child-Rearing,
"Moon, Susan",This Is Getting Old: Zen Thoughts on Aging with Humor and Dignity,ARCH,
"Moore, Mary Ann",Hide and Seek with God,Juvenile,
"Moore, Rosemarie",Light in Their Consciousnesses: The Early Quakers in Britain 1646-1666,Quaker History,
"Moore, Thomas",Care of the Soul: Guide for Cultivating Depth and Sacredness in Everyday Life,Spirituality,
"Morgan, Ernest; Jenifer Morgan, Ed.",Dealing Creatively with Death: A Manual of Death Education and Simple Burial (14th Edition),ARCH,
"Morris, Ruth & Marie Ottosen",Journey to Joy (autobiographical),b-Quakers/Morris,
"Morton, Peg","Feeling Light Within, I Walk: Tales, Adventures, and Reflections of a Quaker Activist; Inscribed by author",b-Quakers/Morton,
"Munsch, Robert; Sheila McGraw, illus.",Love You Forever,Juvenile/Picture Book,
"Murphy, Bernadette",Zen and the Art of Knitting,Spirituality,
"Musgrove, Margaret",Ashanti to Zulu,Juvenile,Africa
"Muste, A.J.; Nat Hentoff, ed.",Essays of A. J. Muste,b-Quakers/Muste,
"Muth, Jon J.",Stone Soup,Juvenile/Picture Book,
"Myers, Edward",When Parents Die: A Guide for Adults,ARCH,
"Nahmias, Rick",Golden States of Grace: Prayers of the Disinherited,P&SC: Social Action,Spirituality
"Navias, Mathilda",Quaker Process: For Friends on the Benches,Quakerism,
"Naylor, Ruth",Faith Talk: A spiritual Memoir Inviting Reflection & Dialog,b-Quakers/Naylor,
"Nazario, Sonia",Enrique's Journey: The Story of a Boy's Dangerous Odyssey to Reunite wtih His Mother (YA Version),P&SC:Social Action ,Immigration / YA version
"Nazario, Sonia ",Enrique's Journey: The Story of a Boy's Dangerous Odyssey to Reunite with His Mother,P&SC:Social Action,Immigration
"Neelon, David",James Nayler: Revolutionary to Prophet,b-Quakers/Nayler,
"Neuffer, Elizabeth",Key to My Neighbor's House: Seeking Justice in Bosnia and Rwanda,P&SC: Racial Justice,Africa
New England Yearly Meeting,Faith and Practice 1985,Quaker Basics/Faith & Practice,
New York City Board of Education,Resolving Conflict Creatively,P&SC:Peace & Nonviolence,
New York Public Library,"Connections 2022: A Free Guide for Formerly Incarcerated People in New York City; Kate Henan, ed.",P&SC:Prison,
New York Yearly Meeting,Faith and Practice 1974,Quaker Basics/Faith & Practice,
New York Yearly Meeting,Faith and Practice 1995 ,Quaker Basics/Faith & Practice,
New York Yearly Meeting,Faith and Practice 1998 ,Quaker Basics/Faith & Practice,
New York Yearly Meeting,Faith and Practice 2014 (2015 printing),Quaker Basics/Faith & Practice,
New York Yearly Meeting,Faith and Practice 2018,Quaker Basics/Faith & Practice,
New York Yearly Meeting,Faith and Practice 2018 (Large Print) ,Quaker Basics/Faith & Practice,
New York Yearly Meeting,Yearbook: Proceedings and Appointments 2017-2018,Quaker Basics/Faith & Practice,Directory
"Newman, Daisy","Procession of Friends, A: Quakers in America",Quaker History,
"Niss, Millie",City Bird: Selected Poems 1991-2009,b-Morningsiders,Poetry
"Nivola, Claire",Planting the Trees of Kenya: The Story of Wangari Maathai,Juvenile/Picture Book,Africa
"Norris, Gunilla",Being Home: A Book of Meditations.  Photos by Greta D. Sibley.,Spirituality,Prayer
North Pacific Yearly Meeting,Faith and Practice 1993,Quaker Basics/Faith & Practice,
"Nouwen, Henri J. M",Genesee Diary: Report from a Trappist Monastery,Spirituality,
"Nouwen, Henri J. M.",Can You Drink the Cup? ,Spirituality,
"Nouwen, Henri J. M.",Life of the Beloved: Spiritual Living in a Secular World,Spirituality,
"Nouwen, Henri J. M.",Reaching Out: The Three Movements of the Spiritual Life,Spirituality,
"Nouwen, Henri J. M.","Wounded Healer, The: Ministry in Contemporary Society  ",Spirituality,
"Nute, William L. Jr.","What We Cannot Say: A Cultural Encounter, East vs. West",b-Morningsiders,
"Oates, Stephen",Let the Trumpet Sound: The Life off Martin Luther King,P&SC:Racial Justice,
"Okun, Barbara & Nowinski, Joseph",Saying Goodbye: How Families Can Find Renewal Through Loss,ARCH,
"O'Reilley, Mary Rose","Barn at the End of the World, The: The Apprenticeship of a Quaker, Buddhist Shepherd",b-Quakers/O'Reilley,
"O'Reilley, Mary Rose",Half Wild: Poems,Poetry,
"Osborne, Mary Pope","Standing in the Light: The Captive Diary of Catharine Carey Logan, Delaware Valley, Pennsylvania, 1763",Juvenile,Historical Novel / Native Americans
"Otoshi, Kathryn",One,Juvenile/Picture Book,
"Otto, Nathan",Give Peace a Deadline: What Ordinary People Can Do to Cause World Peace in Five Years,P&SC:Peace & Nonviolence,Peacemaking
"Packard, Rosa Covington","Hidden Hinge, The: Montessori's Approach to Helping Self-Development in Early Childhood",Child-Rearing,
"Pagels, Elaine",Beyond Belief: The Secret Gospel of Thomas,Bible,Gnostic Gospels
"Pagels, Elaine",Gnostic Gospels,Bible,Gnostic Gospels
"Palmer, Parker J.","Active Life: A Spirituality of Work, Creativity and Caring",b-Quakers/Palmer,
"Palmer, Parker J.",Healing the Heart of Democracy: The Courage to Create Politics Worthy of the Human Spirit,b-Quakers/Palmer,
"Palmer, Parker J.","Hidden Wholeness, A: The Journey Toward an Undivided Life",b-Quakers/Palmer,
"Palmer, Parker J.",Let your Life Speak: Listening for the Voice of Vocation,b-Quakers/Palmer,
"Palmer, Parker J.","On the Brink of Everything: Grace, Gravity & Getting Old",b-Quakers/Palmer,ARCH
"Parr, Todd","Earth Book, The",Juvenile/Picture Book,
"Parr, Todd",It's Okay to Be Different,Juvenile/Pcture Book,Diversity
"Parr, Todd","Peace Book, The",Juvenile/Picture Book,
"Paterson, Katherine",Light of the World: The Life of Jesus for Children,Juvenile,
"Paterson, Katherine; Pamela Dalton, illus.","Brother Sun, Sister Moon: Saint Francis of Assisi's Canticle of the Creatures",Juvenile/Picture Book,
"Peace Pilgrim, Friends of, eds",Peace Pilgrim: Her Life and Work in Her Own Words,P&SC:Peace & Nonviolence,
"Peace Pilgrim, Friends of, eds",Peace Pilgrim: Su vita y Opera en Sus Proprias Palavas,P&SC:Peace & Nonviolence,
"Peck, M. Scott","Different Drum, The: Community Making, Peace and Community",P&SC:Peace & Nonviolence,
"Pehanich, Loretta A.",Fleeting Moments: Praying When You Are Too Busy,Sprituality,
Pendle Hill,Index of Pendle Hill Pamphlets 1934-2018,Pendle Hill Pamphlets,
"Penington, Isaac",Light Within and Selected Writings,"b-Quakers/Penington, Isaac",
"Penington, Mary",Experiences in the Life of Mary Penington (writtten by herself) [the Spiritual Autobiography of Mary Penington c. 1625-1682,"b-Quakers/Penington, Mary",
"Penn, William","No Cross, No Crown: Modern English Edition; Ronald Selleck, ed.",b-Quakers/Penn,
"Penn, William","Some Fruits of Solitude:Wise Sayings on the Conduct of Human Life;  Eric K Taylor, ed.",b-Quakers/Penn,
"Penn, William","Twenty-First Century Penn: Penn's Writings on the Faith and Practice of Friends in Modern English; Paul Buckley, ed.",b-Quakers/Penn,
"Penn, William",Writings on the Faith and Practice of the People Called Quakers,b-Quakers/Penn,
"Perry, Mark",Lift Up Thy Voice: The Grimke Family's Journey from Slaveholders to Civil Rights Leaders,b-Quakers/Grimkes,
Philadelphia Yearly Meeting,"Faith and Practice 1955, 1972",Quaker Basics/Faith & Practice,
Philadelphia Yearly Meeting,Outreach Ideabook: Suggestions for Attracting and Nurturing Newcomers…,Quakerism,
Philadelphia Yearly Meeting,"Silent Witness: Quaker Meetinghouses in the Delaware Valley, 1695 to the Present (Historic American Buildings Survey)(Catalog)",Quaker History,
"Philbrick, Nathaniel",In the Heart of the Sea: The Tragedy of the Whaleship Essex,Quaker History,
"Piercy, Marge","Art of Blessing the Day, The: Poems with a Jewish Theme",Poetry,
"Plotnik, Arthur","Urban Tree Book, The: An Uncommon Field Guide",EarthCare,
"Powledge, Fred",Free at Last:The Civil Rights Movement and the People Who Made It,P&SC:Racial Justice,
"Priestland, Gerald",Coming Home: An Introduction to the Quakers,Quaker Basics,
"Pritchard, Evan",Native American Stories of the Sacred,Spirituality,
"Pritchard, Evan",No Word for Time,Spirituality,Native Americans
"Prokofiev, Sergei",Peter and the Wolf. Retold and illustrated by Michele LeMieux.,Juvenile/Picture Book,
"Prosch, Tim",The Other Talk: A Guide to Talking with Your Adult Children about the Rest of Your Life,ARCH,
"Punshon, John",Encounter with Silence: Reflections from the Quaker Tradition,Quaker Basics,
"Punshon, John",Portrait in Grey: A Short History of the Quakers,Quaker History,
"Punshon, John",Reasons for Hope: The Faith and Future of the Friends Church,Quakerism,Programmed Meetings 
"Pym, Jim",Listening to the Light: How to Bring Quaker Simplicity and Integrity into Our Lives,Quaker Basics,
"Quaker Universalist Fellowship, eds","Quaker Universalist Reader  Number 1; Contains article by Dan Seeger: ""Is Coexistence Possible? Christianity and Universalism in the Religious Society of Friends""",b-Quakers/Collection,
Quaker US/USSR Committee,"Human Experience, The: Contemporary American & Soviet Fiction & Poetry (Published 1989)",Fiction & Poetry,
"Rada, Lee","""From Addiction to Happiness."" Essay in Gilpin et al,  Intimacy with God,  p. 103",b-Quakers/Collection                 ,b-Morningsiders
"Rahula, Walpola",What the Buddha Taught,Other Faiths,Buddhism
"Rammell, S. Kelly; Jeanette Canyon, illus.",City Beats: A Hip-Hoppy Pidgeon Poem ,Juvenile/Picture Book,
"Ramsey, Calvin Alexander; Floyd Cooper, illus.",Ruth and the Green Book,Juvenile/Picture Book,Racial Justice
"Reagan, Michael, ed.","Hand of God, The: Thoughts and Images Reflecting the Spirit of the Universe",Spirituality,
"Reagan, William J.","Venture in Quaker Education at Oakwood School, A",Quakerism ,
"Renfer, Linda Hill, ed",Daily Readings from Quaker Writings Ancient and Modern,Quaker Basics,
"Renfer, Linda Hill, ed","Daily Readings from Quaker Writings Ancient and Modern, vol 2",Quaker Basics,
Ribbon Committee,"Ribbon, The: A Celebration of Life",P&SC:Peace & Nonviolence,Nuclear Holocaust / Hiroshima
"Rice, David L.; K. Dyble Thompson, illus.",Because Brian Hugged His Mother,Juvenile/Picture Book,
"Richards, M. C.","Centering: In Pottery, Poetry and the Person",Spirituality,
"Richmond, Lewis",Aging as a Spiritual Practice: A Contemplative Guide to Growing Older and Wiser,ARCH,
"Rifkin, Ira",Spiritual Perspectives on Globalization: Making sense of economic and cultural upheaval,P&SC:Global Concerns,
"Robinson, John A. T., Bishop of Woolwich",Honest to God,Spirituality,
"Roca, Nuria & Curto, Rosa",Boys and Girls of the World from One End to the Other,Juvenile/Picture Book,Diversity
"Rockwell, Anne",Only Passing Through: The Story of Sojourner Truth,Juvenile,Racial Justice
"Rogers, Frank Jr.",Practicing Compassion,Spirituality,
"Rogers, Holly B., M.D.","Mindful Twenty-Something, The: Life Skills to Handle Stress…& Everything Else (Rogers is co-founder of Koru Mindfulness program developed at Duke University)",Spirituality,
"Rohr, Richard","Yes, And . . . : Daily Meditations",Spirituality,
"Rosenberg, Marshall B.",Non-Violent Communication: A Language of Life,P&SC:Peace & Nonviolence,
"Rosenberg, Marshall B.","Non-Violent Communication, 3rd Edition",P&SC:Peace & Nonviolence,
"Rosten, Leo, ed.",Religions of America: Ferment and Faith in an Age of Crisis,Other Faiths,
"Rothenberg, David","Fortune in My Eyes: A Memoir of Broadway Glamour, Social Justice, and Political Passion",P&SC:Prison,
"Rowe, John W., MD & Robert L Kahn, PhD.",Successful Aging:The MacArthur Foundation shows you how the lifestye choices you make now—more than heredity—determine your health and vitality,ARCH,
"Ruden, Sarah","Face of Water, The: A Translator on Beauty and Meaning in the Bible",Bible,Commentary
"Ruden, Sarah, Trans","Gospels, The",Bible,
"Russell, Elbert","History of Quakerism, The",Quaker History,
"Rustin, Bayard",Down the Line: The Collected Writings of Bayard Rustin,b-Quakers/Rustin,
"Rustin, Bayard","I Must Resist: Bayard Rustin's Life in Letters; Michael Long, ed.",b-Quakers/Rustin,
"Rustin, Bayard","Time on Two Crosses: Collected Writings of Bayard Rustin; Devon W. Carbado & Donald Weiss, eds.",b-Quakers/Rustin,
"Ryan, Pam Muñoz; Selznick, Brian, illus.",When Marian Sang,Juvenile/Picture Book,Racial Justice
"Ryan, Regina Sara",Praying Dangerously: Radical Reliance on God,Spirituality,
"Salwak, Dale, Ed.","Power of Prayer, The",Spirituality,
"Sandman, Gary",Quaker Artists,b-Quakers/Collection,
"Sartore, Joel",Face to Face with Grizzlies,Juvenile,
"Sasso, Sandy Eisenberg; Phoebe Stone, illus.",In God's Name,Juvenile/Picture Book,
"Scallion, Maureen",God's Love Is…,Juvenile/Picture Book,
Scholastic Books; Pascale de Bourgoing et al,"Ladybug and Other Insects, The (A First Discovery Book)",Juvenile,Nature
Scholastic Books; Sabine Krawczyk,Fish (A First Discovery Book),Juvenile,Nature
"Schori, Katharine Jefferts","Wing and a  Prayer, A: A Message of Faith and Hope ",Other Faiths,Anglican
"Schut, Michael, ed.",Money & Faith: The Search for Enough,EarthCare,Sustainability
"Schwartz, Ed",Faithful Voices: Oral Readings Exploring Beliefs in Action,P&SC: Social Action,
"Schwartz, Sanford",On Edward Hicks,"b-Quakers/Hicks, Edward",
"Searl, Sanford, Jr.",Voices from the Silence,Quakerism,
"Seeger, Dan","""Is Coexistence Possible? Christianity and Universalism in the Religious Society of Friends."" Essay in Quaker Universalist Reader #1 (b-Quakers/Collection)",b-Quakers/Collection,b-Morningsiders
"Seeger, Pete",If I Had a Hammer: A Pete Seeger Sing Along Songbook,Music,Folk Songs
"Sendak, Maurice",Bumble-Ardy,Juvenile/Picture Book,
"Shakers, The",Shaker Music: Original Inspiratonal Hymns and Songs,Music,
"Sheehan, Kathryn and Waidner","Earth Child:  Games, Stories, Activities, Experiments and Ideas About Living Lightly on Planet Earth",Juvenile,EarthCare
"Sheeran, Michael J. ",Beyond Majority Rule: Voteless Decisions in the Religious Society of Friends,Quakerism,Business Meeting
"Sher, Barbara","Attention Games, 101 Fun, Easy Games That Help Kids Learn to Focus",Juvenile,
"Sher, Barbara",Spirit Games: 300 Fun Activities that Bring Children Comfort and Joy,Juvenile,
"Sherwood, Steve & Campbell, R. Anderson ",Praying for Justice: A Lectionary of Christian Concern,P&SC:Social Action,
"Short, Robert L. ","Gospel According to Peanuts, The",Bible,Humor
"Silverstein, Shel",Light in the Attic,Juvenile,
"Simpkinson, Charles H., et. al., eds.",Nourishing the Soul: Discovering the Sacred in Everyday Life,Spirituality,
"Simsik, Wayne",Praying With  Meister Eckhart,Spirituality,
"Sister Susan; Nguyen Thi Hup & Nguen Dong, illus.",Each Breath a Smile; based on the Teachings of Thich Nhat Hanh,Juvenile/Picture Book,Buddhism
"Skarbek, David","Puzzle of Prison Order, The: Why Life Behind Bars Varies Around the World",P&SC:Prison,
"Slaughter, Thomas P.","Beautiful Soul of John Woolman, The: Apostle of Abolition",b-Quakers/Woolman,
"Slonczewski, Joan",Daughter of Elysium,Fiction,Science Fiction
"Slonczewski, Joan",Door Into Ocean,Fiction,Science Fiction
"Slonczewski, Joan",Still Forms on Foxfield,Fiction,Science Fiction
"Smith, Bradford",Meditation: The Inward Art,Spirituality,
"Smith, Huston","World's Religions, The: Our Great Wisdom Traditions",Other Faiths,
"Smith, Robert Lawrence","Quaker Book of Wisdom, A",Quaker Basics,
